#Age(years) Case_Fatality_female(%)
2.5317947404389862 2.3163752471869605
7.813180131783129 0.5306199005156031
12.599877435907858 0.6165476497319338
17.386675005160313 0.7045079736177042
22.526465983116964 1.6483506787548095
27.218492953634204 1.9151214250802928
32.06643219777952 1.8425457823941924
36.94248578374177 1.6399040770207316
41.741435486475694 1.624212450843351
47.32760681310902 1.117077584353722
52.28533637212427 1.5201712047109108
57.12597631497048 0.9496241260891471
62.38221521227867 3.5540990523207503
67.42011676743091 4.532439378366904
72.37688378121992 7.716020281897414
77.16113461622788 1.4523532091792593
